test_set,rank_within_test_set,image_id,dataset_index,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,gt_area,pred_area,pred_gt_area_ratio
TestingSet,2,TestingSet_000000,0,0.32,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.33,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.34,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.35,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.36,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.37,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.38,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.39,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.4,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.41,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.42,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.43,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.44,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.45,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.46,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.47,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.48,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.49,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.5,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.51,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.52,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.53,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
TestingSet,2,TestingSet_000000,0,0.54,0,124,40,3932,0.0,0.0,0.0,0.0,0.9599609375,0.9694280078895463,0.03057199211045365,1.0,40,124,3.1
