test_set,tamper_type,analysis_only,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate
TestingSet,copy_move,True,0.24,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.25,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.26,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.27,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.28,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.29,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.3,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.31,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.32,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.33,144,2730,164,9250,0.05010438413361169,0.4675324675324675,0.09050911376492772,0.04739960500329164,0.7644856770833334,0.7721202003338898,0.2278797996661102,0.5324675324675324
TestingSet,copy_move,True,0.34,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.35,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.36,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.37,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.38,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.39,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.4,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.41,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.42,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.43,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.44,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
TestingSet,copy_move,True,0.45,77,1268,231,10712,0.05724907063197026,0.25,0.09316394434361766,0.04885786802030457,0.8780110677083334,0.8941569282136895,0.10584307178631051,0.75
